,지역,분기,전체 점포수,프랜차이즈 점포수,일반 점포수,길단위 유동인구,주거 인구,직장 인구,개업수,폐업수,개업률,폐업률
146,강서구,2022-2,27077,2570,24507,25809,135.0,35.0,862,468,3.2,1.7
147,구로구,2022-2,22218,1790,20428,35555,200.0,70.0,443,316,2.0,1.4
148,금천구,2022-2,15719,1302,14417,30328,183.0,100.0,340,252,2.2,1.6
149,영등포구,2022-2,27207,2210,24997,45265,176.0,185.0,593,399,2.2,1.5
150,동작구,2022-2,15698,1477,14221,46535,224.0,44.0,377,236,2.4,1.5
151,관악구,2022-2,19883,1843,18040,42119,166.0,25.0,529,378,2.7,1.9
152,서초구,2022-2,36265,2428,33837,20119,89.0,121.0,712,487,2.0,1.3
153,강남구,2022-2,56587,4106,52481,35311,141.0,293.0,1338,882,2.4,1.6
154,송파구,2022-2,37842,3058,34784,36299,199.0,119.0,951,597,2.5,1.6
155,강동구,2022-2,21381,1921,19460,43184,180.0,29.0,573,380,2.7,1.8
156,서울시 전체,2022-3,575039,44729,530310,35790,159.0,79.0,13397,15201,2.3,2.6
157,종로구,2022-3,24758,1454,23304,20461,63.0,99.0,459,502,1.9,2.0
158,중구,2022-3,36837,1827,35010,45858,126.0,336.0,447,794,1.2,2.2
159,용산구,2022-3,18942,1135,17807,25914,108.0,83.0,396,408,2.1,2.2
160,성동구,2022-3,17426,1307,16119,37940,177.0,49.0,406,430,2.3,2.5
161,광진구,2022-3,19003,1622,17381,50508,196.0,46.0,475,540,2.5,2.8
162,동대문구,2022-3,20902,1465,19437,64944,236.0,55.0,425,534,2.0,2.6
163,중랑구,2022-3,16397,1293,15104,49884,216.0,22.0,460,524,2.8,3.2
164,성북구,2022-3,17119,1524,15595,42050,177.0,45.0,436,474,2.5,2.8
165,강북구,2022-3,13477,1045,12432,33667,130.0,12.0,364,400,2.7,3.0
166,도봉구,2022-3,11788,998,10790,27920,156.0,17.0,291,345,2.5,2.9
167,노원구,2022-3,18289,1793,16496,24533,147.0,16.0,456,543,2.5,3.0
168,은평구,2022-3,18599,1566,17033,36400,154.0,16.0,468,540,2.5,2.9
169,서대문구,2022-3,14913,1433,13480,52360,180.0,38.0,405,438,2.7,2.9
170,마포구,2022-3,29071,2253,26818,42256,151.0,58.0,888,835,3.1,2.9
171,양천구,2022-3,18598,1619,16979,44181,254.0,78.0,420,522,2.3,2.8
172,강서구,2022-3,26977,2545,24432,25494,135.0,35.0,817,912,3.0,3.4
173,구로구,2022-3,22111,1750,20361,35156,200.0,70.0,470,556,2.1,2.5
174,금천구,2022-3,15690,1305,14385,29881,183.0,100.0,380,393,2.4,2.5
175,영등포구,2022-3,27104,2194,24910,44849,176.0,185.0,645,731,2.4,2.7
176,동작구,2022-3,15591,1450,14141,45182,224.0,44.0,347,437,2.2,2.8
177,관악구,2022-3,19717,1819,17898,41141,166.0,25.0,538,691,2.7,3.5
178,서초구,2022-3,36182,2391,33791,19558,89.0,121.0,634,702,1.8,1.9
179,강남구,2022-3,56542,4042,52500,34971,141.0,293.0,1258,1261,2.2,2.2
180,송파구,2022-3,37748,3010,34738,35427,199.0,119.0,969,1042,2.6,2.8
181,강동구,2022-3,21258,1889,19369,42407,180.0,29.0,543,647,2.6,3.0
