서울시 기준일,서울시 확진자,서울시 추가 확진
2021.02.26.00,27989,132
2021.02.25.00,27857,122
2021.02.24.00,27735,144
2021.02.23.00,27592,126
2021.02.22.00,27466,106
2021.02.21.00,27360,130
2021.02.20.00,27230,123
2021.02.19.00,27107,180
2021.02.18.00,26927,185
2021.02.17.00,26742,258
2021.02.16.00,26484,161
2021.02.15.00,26324,151
2021.02.14.00,26173,152
2021.02.13.00,26021,136
2021.02.12.00,25885,158
2021.02.11.00,25727,183
2021.02.10.00,25544,175
2021.02.09.00,25369,90
2021.02.08.00,25279,112
2021.02.07.00,25167,144
2021.02.06.00,25023,143
2021.02.05.00,24880,126
2021.02.04.00,24755,172
2021.02.03.00,24583,188
2021.02.02.00,24395,128
2021.02.01.00,24267,107
2021.01.31.00,24162,101
2021.01.30.00,24061,154
2021.01.29.00,23908,112
2021.01.28.00,23797,105
2021.01.27.00,23692,129
2021.01.26.00,23563,104
2021.01.25.00,23459,102
2021.01.24.00,23357,133
2021.01.23.00,23224,127
2021.01.22.00,23097,115
2021.01.21.00,22984,125
2021.01.20.00,22859,143
2021.01.19.00,22717,101
2021.01.18.00,22616,132
2021.01.17.00,22484,145
2021.01.16.00,22339,156
2021.01.15.00,22183,127
2021.01.14.00,22056,134
2021.01.13.00,21922,152
2021.01.12.00,21771,167
2021.01.11.00,21604,141
2021.01.10.00,21463,187
2021.01.09.00,21276,188
2021.01.08.00,21088,191
2021.01.07.00,20899,298
2021.01.06.00,20602,264
2021.01.05.00,20338,199
2021.01.04.00,20138,329
2021.01.03.00,19809,197
2021.01.02.00,19614,251
2021.01.01.00,19363,359
